127.0.0.1, 2016-02-18 17:22:30, GET, /trade/static/css/calendar.css, HTTP/1.1, 200, 0.000937
127.0.0.1, 2016-02-18 17:22:30, GET, /trade/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000243
127.0.0.1, 2016-02-18 17:22:30, GET, /trade/static/images/favicon.ico, HTTP/1.1, 200, 0.001178
127.0.0.1, 2016-02-18 17:22:59, GET, /, HTTP/1.1, 303, 0.002935
127.0.0.1, 2016-02-18 17:22:59, GET, /welcome/default/index, HTTP/1.1, 404, 0.000239
127.0.0.1, 2016-02-18 17:23:00, GET, /welcome/default/index, HTTP/1.1, 404, 0.000398
127.0.0.1, 2016-02-18 17:23:04, GET, /trade/default/index, HTTP/1.1, 200, 0.074082
127.0.0.1, 2016-02-18 17:23:05, GET, /trade/static/images/background.jpg, HTTP/1.1, 304, 0.000389
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/default/index, HTTP/1.1, 200, 0.027125
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000441
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/css/calendar.css, HTTP/1.1, 304, 0.000365
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000388
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/js/jquery.js, HTTP/1.1, 304, 0.000350
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/js/calendar.js, HTTP/1.1, 304, 0.000370
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000657
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000340
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000894
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/js/web2py.js, HTTP/1.1, 304, 0.003541
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000388
127.0.0.1, 2016-02-18 17:24:39, GET, /trade/static/images/favicon.ico, HTTP/1.1, 200, 0.000561
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/default/index, HTTP/1.1, 200, 0.019988
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000386
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/js/calendar.js, HTTP/1.1, 304, 0.000450
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002775
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/js/jquery.js, HTTP/1.1, 304, 0.000318
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/css/calendar.css, HTTP/1.1, 304, 0.000352
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.005660
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/js/web2py.js, HTTP/1.1, 304, 0.000449
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.001064
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001733
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/css/calendar.css, HTTP/1.1, 304, 0.000332
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000390
127.0.0.1, 2016-02-18 17:26:30, GET, /trade/static/images/favicon.ico, HTTP/1.1, 200, 0.000491
127.0.0.1, 2016-02-18 17:26:31, GET, /trade/default/index, HTTP/1.1, 200, 0.017366
127.0.0.1, 2016-02-18 17:26:31, GET, /trade/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000431
127.0.0.1, 2016-02-18 17:26:31, GET, /trade/static/js/web2py.js, HTTP/1.1, 304, 0.000917
127.0.0.1, 2016-02-18 17:26:31, GET, /trade/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000352
127.0.0.1, 2016-02-18 17:26:31, GET, /trade/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000403
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000747
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000852
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/js/calendar.js, HTTP/1.1, 304, 0.001285
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/css/calendar.css, HTTP/1.1, 304, 0.000529
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/js/jquery.js, HTTP/1.1, 304, 0.001854
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/css/calendar.css, HTTP/1.1, 200, 0.001449
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 304, 0.000430
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/static/images/favicon.ico, HTTP/1.1, 200, 0.000474
127.0.0.1, 2016-02-18 17:26:32, GET, /trade/default/index, HTTP/1.1, 200, 0.018231
